-0.427,0.103,11.165
-0.978,0.228,9.992
-1.012,0.992,6.481
-1.182,0.285,10.265
-0.731,-0.76,10.66
-0.722,-0.303,11.051
-0.916,0.422,9.939
-0.712,0.865,9.41
-0.236,1.064,8.45
-0.597,-0.784,11.407
-0.708,-2.784,10.09
-0.875,-1.646,9.544
-0.621,0.566,10.251
0.053,-0.674,9.726
0.309,-1.369,10.926
0.099,-0.422,9.839
0.975,1.203,10.833
0.295,0.894,9.053
-0.918,0.041,10.833
-0.509,0.261,6.251
-2.327,0.283,10.404
-0.739,1.188,10.018
-0.693,-0.082,10.655
-0.454,0.477,11.228
0.417,0.022,8.335
0.091,0.81,7.992
0.35,0.245,10.607
0.041,-1.297,9.412
0.017,-0.281,8.385
0.242,-1.292,9.724
0.42,-0.365,10.924
0.055,-0.296,7.87
-0.547,1.493,10.718
0.455,1.198,12.377
0.199,1.339,8.941
0.185,1.392,7.496
0.147,2.762,6.936
-0.461,0.259,9.429
-0.135,0.791,8.337
-0.252,1.181,11.221
0.147,0.391,10.883
-1.39,-1.124,13.587
0.851,1.322,8.667
0.901,-0.418,7.877
0.242,-0.593,8.27
-0.221,-0.662,9.798
-0.403,-0.566,12.447
0.551,0.384,8.593
-0.243,-0.377,7.812
-0.257,0.405,9.918
-0.657,-0.008,11.51
-0.248,-0.983,13.491
0.261,0.846,9.817
-0.181,1.196,13.743
0.441,-0.473,8.679
0.218,1.356,3.779
-0.576,0.697,6.241
0.087,0.827,7.784
0.115,1.538,9.302
-0.288,0.884,13.769
0.218,-0.001,9.343
0.34,1.507,7.132
-0.046,0.147,11.326
0.443,0.87,12.104
0.64,0.846,8.821
-0.212,0.06,8.529
-0.018,1.102,9.525
0.072,0.52,10.428
-0.193,0.444,10.73
0.015,0.527,7.635
-0.739,-0.018,11.956
0.096,0.772,9.594
-0.233,-0.312,9.257
-0.451,0.115,8.545
-0.617,-0.775,12.114
-0.063,0.36,9.922
-0.193,-0.389,10.198
-0.08,0.321,9.788
-0.324,0.022,9.168
-0.171,0.398,9.0
-0.236,0.178,9.546
-0.142,-0.058,11.297
0.077,0.99,9.257
0.091,0.693,9.609
-0.377,-0.643,11.558
0.513,1.914,4.117
-0.427,-1.213,11.989
0.506,1.337,9.542
-0.035,0.875,11.383
0.185,0.491,10.296
0.422,1.023,8.569
-0.173,0.24,10.011
0.099,0.908,6.869
-0.097,0.556,8.701
-0.487,-0.2,13.105
