-0.786,-0.738,9.923
-0.709,-0.742,10.036
-0.697,-0.8,9.904
-0.606,-0.726,9.552
-0.678,-0.663,9.662
-0.815,-0.704,9.976
-0.865,-0.637,9.978
-0.772,-0.632,9.825
-0.652,-0.745,9.792
-0.808,-0.814,9.768
-0.891,-0.797,9.804
-0.827,-0.793,9.935
-0.791,-0.819,9.861
-0.786,-0.812,9.691
-0.688,-0.685,9.693
-0.499,-0.424,9.868
-0.559,-0.34,9.835
-0.518,-0.524,9.739
-0.537,-0.704,9.665
-0.707,-0.709,9.758
-1.035,-0.702,9.696
-0.87,-0.663,9.593
-0.408,-0.601,9.823
0.049,-0.738,10.383
-0.015,-0.893,10.611
-0.412,-0.958,10.216
-0.635,-0.781,9.602
-0.645,-0.63,9.255
-0.544,-0.642,9.468
-0.494,-0.91,10.05
-0.623,-1.015,10.113
-0.86,-0.955,9.99
-0.683,-0.75,10.01
-0.468,-0.606,10.043
-0.412,-0.807,9.868
-0.377,-0.778,9.595
-0.578,-0.716,9.516
-0.721,-0.28,9.607
-0.887,-0.235,9.768
-0.853,-0.754,10.153
-0.87,-0.886,9.876
-1.064,-0.807,9.502
-1.136,-0.587,9.686
-1.22,-0.515,9.878
-1.162,-0.529,10.062
-1.076,-0.529,9.823
-1.148,-0.488,9.655
-1.172,-0.385,9.82
-1.078,-0.275,9.907
-1.138,-0.393,9.72
-1.124,-0.541,9.682
-1.136,-0.328,9.974
-1.045,-0.297,10.098
-1.04,-0.488,9.794
-1.117,-0.534,9.804
-1.177,-0.644,9.88
-1.155,-0.716,9.761
-1.078,-0.706,9.557
-1.038,-0.553,9.583
-1.05,-0.441,9.974
-1.246,-0.776,10.175
-1.141,-0.716,9.959
-0.992,-0.62,9.72
-0.971,-0.465,9.497
-1.177,-0.529,9.684
-1.191,-0.596,10.022
-0.994,-0.529,10.022
-0.848,-0.453,9.756
-1.018,-0.52,9.792
-1.248,-0.51,9.928
-1.227,-0.453,9.78
-1.198,-0.45,9.763
-1.232,-0.443,9.871
