-0.806,3.14,11.13
0.549,1.924,10.782
0.927,2.146,10.119
1.03,0.161,9.204
0.293,-0.387,10.085
0.276,0.384,9.302
1.14,-0.545,9.863
0.688,1.481,9.539
0.788,1.435,10.275
0.74,2.055,11.015
0.542,1.629,10.701
0.067,1.27,9.326
0.985,2.261,7.506
1.651,2.736,6.498
-0.176,1.643,12.452
0.01,3.938,8.998
1.957,3.289,7.393
-1.04,6.307,13.103
-1.16,-7.423,8.375
-2.633,-8.877,6.071
1.698,1.351,1.157
-1.33,-2.87,5.034
0.139,0.808,16.597
2.01,-0.315,15.036
2.415,-2.441,17.34
2.649,0.17,8.399
0.939,-0.044,5.748
2.146,0.908,14.147
-1.745,0.218,7.525
-0.595,-1.661,12.974
0.666,0.046,11.97
0.448,0.424,8.493
-0.075,0.975,8.979
-0.054,0.015,8.205
-0.025,0.178,9.616
0.7,-0.094,9.788
0.24,0.899,10.655
0.702,1.79,10.739
-0.152,1.428,8.562
-0.154,1.164,11.479
-0.145,0.575,9.06
-0.298,1.097,10.914
-0.209,0.341,12.231
0.487,0.688,7.101
-0.549,-0.049,9.276
1.878,1.622,10.31
-0.43,1.607,10.761
-0.6,0.92,8.979
0.357,4.525,9.29
-0.779,2.113,12.416
-0.957,4.026,11.079
-0.432,2.228,7.496
-0.588,1.811,8.145
-0.329,0.982,11.836
0.635,3.579,6.986
0.005,3.428,8.399
1.639,4.208,9.379
-0.48,1.979,11.137
2.211,1.892,13.69
-0.65,1.823,4.107
2.264,5.734,7.769
-1.689,4.908,10.169
-0.935,2.019,11.053
0.922,0.887,9.357
-1.778,0.142,7.556
0.513,1.622,11.352
-1.701,0.477,8.778
0.089,2.245,11.702
-1.457,0.992,10.128
-0.391,0.168,9.005
-0.537,0.968,8.665
-0.3,-0.046,9.118
0.29,0.441,9.999
-0.082,-0.2,10.663
-0.854,0.791,9.922
-0.346,1.296,9.206
-1.136,0.573,10.801
-0.387,1.691,7.508
-0.423,2.29,12.907
2.173,2.819,8.636
0.218,1.754,9.173
-2.501,2.379,10.813
-0.875,1.921,14.447
0.683,-2.691,6.857
-0.401,-1.191,5.156
-0.24,-0.415,7.377
-0.403,0.067,11.11
1.758,6.754,13.745
1.813,1.016,7.29
-0.293,4.587,9.23
0.889,2.395,9.645
1.6,-1.512,11.743
1.174,0.12,12.801
1.2,0.614,7.961
0.427,2.467,8.493
1.119,1.555,13.355
2.795,2.494,10.531
0.417,0.041,9.17
0.733,-0.023,7.075
1.212,-0.755,8.838
1.636,0.444,4.198
-0.329,1.823,7.606
-1.062,4.429,10.44
0.853,6.093,11.331
1.215,2.383,12.289
0.305,3.171,8.852
2.24,1.088,7.348
1.835,2.53,8.488
-0.111,2.633,8.742
0.841,3.322,9.697
1.749,2.266,13.826
0.549,0.743,9.812
-0.298,1.425,8.337
0.103,1.79,11.927
0.386,2.52,11.654
-0.928,1.509,10.703
-0.229,3.116,10.179
0.894,2.592,10.306
1.1,2.812,7.745
0.204,0.875,9.657
-0.173,1.2,8.399
-0.537,-0.056,10.301
-0.202,1.128,8.62
0.427,5.976,11.52
2.752,7.121,8.991
-0.43,2.149,10.093
1.514,4.34,5.044
0.642,1.744,9.752
-0.032,1.61,9.566
-0.092,2.769,11.486
0.659,2.731,12.837
0.879,3.856,9.666
0.125,0.13,10.969
1.176,1.248,10.964
0.283,-1.043,11.175
-0.985,-1.503,9.738
0.669,2.29,8.909
0.911,2.563,8.802
0.467,2.743,10.466
0.111,0.575,7.048
-0.214,0.429,8.62
-0.578,1.672,10.31
-0.303,0.743,11.922
-0.185,-0.559,8.941
-0.468,0.333,8.72
-0.863,1.71,9.966
0.276,3.219,8.33
1.16,0.58,8.742
-0.602,-2.425,12.363
0.362,-1.869,5.678
-1.51,-0.54,5.18
0.261,4.793,12.265
0.441,4.388,18.516
1.33,0.444,6.493
-0.446,-0.13,7.29
